model,scenario,year,gen_count
ACCESS1-0,historical,2004,7.512385846153846
ACCESS1-0,historical,2005,7.394875538461538
ACCESS1-3,historical,2004,6.920466923076923
ACCESS1-3,historical,2005,7.345233999999999
bcc-csm1-1-m,historical,2004,6.736341076923076
bcc-csm1-1-m,historical,2005,7.603168769230769
bcc-csm1-1,historical,2004,7.1633303076923065
bcc-csm1-1,historical,2005,7.909693384615384
BNU-ESM,historical,2004,7.463159692307692
BNU-ESM,historical,2005,6.8998919999999995
CanESM2,historical,2004,7.439276
CanESM2,historical,2005,7.470424153846154
CCSM4,historical,2004,7.520021538461538
CCSM4,historical,2005,7.1583939999999995
CESM1-BGC,historical,2004,6.588470307692307
CESM1-BGC,historical,2005,7.165758000000001
CESM1-CAM5,historical,2004,6.906614
CESM1-CAM5,historical,2005,6.374803692307693
CMCC-CESM,historical,2004,6.73557876923077
CMCC-CESM,historical,2005,6.875053846153846
CMCC-CMS,historical,2004,6.790954461538461
CMCC-CMS,historical,2005,8.177380461538462
CMCC-CM,historical,2004,6.778180153846154
CMCC-CM,historical,2005,6.996480461538462
CNRM-CM5,historical,2004,7.3837019999999995
CNRM-CM5,historical,2005,7.644887846153846
CSIRO-Mk3-6-0,historical,2004,6.85259876923077
CSIRO-Mk3-6-0,historical,2005,7.7017099999999985
EC-EARTH,historical,2004,7.37682
EC-EARTH,historical,2005,7.574072153846154
FGOALS-g2,historical,2004,7.296269999999998
FGOALS-g2,historical,2005,7.13241323076923
GFDL-CM3,historical,2004,7.45117923076923
GFDL-CM3,historical,2005,7.535734615384615
GFDL-ESM2G,historical,2004,7.3875698461538475
GFDL-ESM2G,historical,2005,7.209726615384615
GFDL-ESM2M,historical,2004,7.751747846153846
GFDL-ESM2M,historical,2005,6.8372139999999995
HadGEM2-AO,historical,2004,7.485112923076922
HadGEM2-AO,historical,2005,7.294370615384614
HadGEM2-CC,historical,2004,6.574955384615384
HadGEM2-CC,historical,2005,7.014070615384615
HadGEM2-ES,historical,2004,6.942864153846153
HadGEM2-ES,historical,2005,6.956225846153846
inmcm4,historical,2004,7.468020769230769
inmcm4,historical,2005,6.9137833846153836
IPSL-CM5A-LR,historical,2004,7.072969846153845
IPSL-CM5A-LR,historical,2005,7.218360307692307
IPSL-CM5A-MR,historical,2004,7.379697846153847
IPSL-CM5A-MR,historical,2005,7.180645999999999
IPSL-CM5B-LR,historical,2004,7.573721076923078
IPSL-CM5B-LR,historical,2005,7.435355846153847
MIROC-ESM-CHEM,historical,2004,6.94924876923077
MIROC-ESM-CHEM,historical,2005,7.102909846153845
MIROC-ESM,historical,2004,6.825934615384615
MIROC-ESM,historical,2005,7.256871538461539
MIROC5,historical,2004,7.464204923076924
MIROC5,historical,2005,7.37671523076923
MPI-ESM-LR,historical,2004,7.432199076923077
MPI-ESM-LR,historical,2005,7.07822476923077
MPI-ESM-MR,historical,2004,7.361865076923076
