year,generation_count,valid_days,annual_dd,model,ssp,lon,lat,period
2004,4.0,365,2754.7499,TaiESM1,ssp245,121.53,25.02,historical
2005,4.0,365,2890.6564,TaiESM1,ssp245,121.53,25.02,historical
2006,4.0,365,2698.8641999999995,TaiESM1,ssp245,121.53,25.02,historical
2007,4.0,365,2811.8786,TaiESM1,ssp245,121.53,25.02,historical
2008,4.0,365,3185.3565,TaiESM1,ssp245,121.53,25.02,historical
2009,4.0,365,2717.5872,TaiESM1,ssp245,121.53,25.02,historical
2010,4.0,365,2790.1185,TaiESM1,ssp245,121.53,25.02,historical
2011,4.0,365,2685.7441,TaiESM1,ssp245,121.53,25.02,historical
2012,4.0,365,2954.0900999999994,TaiESM1,ssp245,121.53,25.02,historical
2013,4.0,365,2889.3016,TaiESM1,ssp245,121.53,25.02,historical
2014,4.0,365,2793.525,TaiESM1,ssp245,121.53,25.02,historical
2015,,0,,TaiESM1,ssp245,121.53,25.02,future
2016,,0,,TaiESM1,ssp245,121.53,25.02,future
2017,,0,,TaiESM1,ssp245,121.53,25.02,future
2018,,0,,TaiESM1,ssp245,121.53,25.02,future
2019,,0,,TaiESM1,ssp245,121.53,25.02,future
2020,,0,,TaiESM1,ssp245,121.53,25.02,future
2021,,0,,TaiESM1,ssp245,121.53,25.02,future
2022,4.0,365,2996.2524,TaiESM1,ssp245,121.53,25.02,future
2023,4.0,365,2968.7664999999997,TaiESM1,ssp245,121.53,25.02,future
2024,5.0,365,3262.3329999999996,TaiESM1,ssp245,121.53,25.02,future
2025,4.0,365,3041.85,TaiESM1,ssp245,121.53,25.02,future
2026,4.0,365,2982.4727000000003,TaiESM1,ssp245,121.53,25.02,future
2027,4.0,365,2776.6716,TaiESM1,ssp245,121.53,25.02,future
2028,4.0,365,3041.1468999999997,TaiESM1,ssp245,121.53,25.02,future
2029,4.0,365,2783.4622,TaiESM1,ssp245,121.53,25.02,future
2030,5.0,365,3301.6273,TaiESM1,ssp245,121.53,25.02,future
2031,4.0,365,3240.0929,TaiESM1,ssp245,121.53,25.02,future
2032,4.0,365,2805.3138,TaiESM1,ssp245,121.53,25.02,future
2033,4.0,365,3070.6854,TaiESM1,ssp245,121.53,25.02,future
