organism,scenario,month,slope_generation_per_year,slope_dd_per_year
Aedes aegypti,historical,1,0.015489362837977257,2.4782980540763613
Aedes aegypti,historical,2,0.03277032049816068,5.243251279705715
Aedes aegypti,historical,3,0.04160816712447826,6.657306739916611
Aedes aegypti,historical,4,0.04487753659708693,7.180405855534009
Aedes aegypti,historical,5,0.04680568674199578,7.488909878719144
Aedes aegypti,historical,6,-0.005338605046264761,-0.8541768074024618
Aedes aegypti,historical,7,0.007333402120860359,1.1733443393378107
Aedes aegypti,historical,8,-0.00795803667004431,-1.273285867207196
Aedes aegypti,historical,9,0.01971526502591594,3.154442404146476
Aedes aegypti,historical,10,0.026523791451740632,4.243806632278612
Aedes aegypti,historical,11,0.0018208369736061674,0.2913339157768834
Aedes aegypti,historical,12,-0.014367176642070165,-2.2987482627312126
Aedes aegypti,rcp26,1,0.004846165002579271,0.7753864004126836
Aedes aegypti,rcp26,2,0.006063923142671436,0.9702277028274303
Aedes aegypti,rcp26,3,0.007215657039057318,1.1545051262491706
Aedes aegypti,rcp26,4,0.007275878354845971,1.1641405367753537
Aedes aegypti,rcp26,5,0.0069967281994770866,1.1194765119163337
Aedes aegypti,rcp26,6,0.00755687243289348,1.2090995892629588
Aedes aegypti,rcp26,7,0.006606637536764295,1.0570620058822853
Aedes aegypti,rcp26,8,0.006188740327482529,0.9901984523972068
Aedes aegypti,rcp26,9,0.007814637039752746,1.250341926360434
Aedes aegypti,rcp26,10,0.00720496661634055,1.1527946586144888
Aedes aegypti,rcp26,11,0.006832829399572206,1.0932527039315543
Aedes aegypti,rcp26,12,0.008102311548845203,1.2963698478152363
Aedes aegypti,rcp45,1,0.005330775815213507,0.8529241304341605
Aedes aegypti,rcp45,2,0.0037371309643805437,0.5979409543008869
Aedes aegypti,rcp45,3,0.005504753343644939,0.8807605349831897
Aedes aegypti,rcp45,4,0.0065765894925286505,1.0522543188045825
Aedes aegypti,rcp45,5,0.006773620203648008,1.0837792325836797
Aedes aegypti,rcp45,6,0.005025107407340791,0.8040171851745297
Aedes aegypti,rcp45,7,0.0056020105472979155,0.8963216875676616
Aedes aegypti,rcp45,8,0.006206083300730417,0.9929733281168649
Aedes aegypti,rcp45,9,0.005445509832007119,0.8712815731211343
Aedes aegypti,rcp45,10,0.006531871023852478,1.045099363816397
Aedes aegypti,rcp45,11,0.004182259858885945,0.6691615774217519
