model,scenario,season_year,season,count,interval_name,variable
ACCESS1-0,historical,2000,DJF,5,Tmax 26–29°C,tmax
ACCESS1-0,historical,2001,DJF,9,Tmax 26–29°C,tmax
ACCESS1-0,historical,2002,DJF,2,Tmax 26–29°C,tmax
ACCESS1-0,historical,2003,DJF,5,Tmax 26–29°C,tmax
ACCESS1-0,historical,2004,DJF,4,Tmax 26–29°C,tmax
ACCESS1-0,historical,2005,DJF,15,Tmax 26–29°C,tmax
ACCESS1-0,historical,2006,DJF,7,Tmax 26–29°C,tmax
ACCESS1-3,historical,2000,DJF,3,Tmax 26–29°C,tmax
ACCESS1-3,historical,2001,DJF,5,Tmax 26–29°C,tmax
ACCESS1-3,historical,2002,DJF,11,Tmax 26–29°C,tmax
ACCESS1-3,historical,2003,DJF,4,Tmax 26–29°C,tmax
ACCESS1-3,historical,2004,DJF,12,Tmax 26–29°C,tmax
ACCESS1-3,historical,2005,DJF,7,Tmax 26–29°C,tmax
ACCESS1-3,historical,2006,DJF,1,Tmax 26–29°C,tmax
BNU-ESM,historical,2000,DJF,4,Tmax 26–29°C,tmax
BNU-ESM,historical,2001,DJF,6,Tmax 26–29°C,tmax
BNU-ESM,historical,2002,DJF,13,Tmax 26–29°C,tmax
BNU-ESM,historical,2003,DJF,3,Tmax 26–29°C,tmax
BNU-ESM,historical,2004,DJF,6,Tmax 26–29°C,tmax
BNU-ESM,historical,2005,DJF,3,Tmax 26–29°C,tmax
BNU-ESM,historical,2006,DJF,3,Tmax 26–29°C,tmax
CCSM4,historical,2000,DJF,6,Tmax 26–29°C,tmax
CCSM4,historical,2001,DJF,3,Tmax 26–29°C,tmax
CCSM4,historical,2002,DJF,8,Tmax 26–29°C,tmax
CCSM4,historical,2003,DJF,7,Tmax 26–29°C,tmax
CCSM4,historical,2004,DJF,8,Tmax 26–29°C,tmax
CCSM4,historical,2005,DJF,5,Tmax 26–29°C,tmax
CCSM4,historical,2006,DJF,1,Tmax 26–29°C,tmax
CESM1-BGC,historical,2000,DJF,1,Tmax 26–29°C,tmax
CESM1-BGC,historical,2001,DJF,12,Tmax 26–29°C,tmax
CESM1-BGC,historical,2002,DJF,6,Tmax 26–29°C,tmax
CESM1-BGC,historical,2003,DJF,7,Tmax 26–29°C,tmax
CESM1-BGC,historical,2004,DJF,1,Tmax 26–29°C,tmax
CESM1-BGC,historical,2005,DJF,5,Tmax 26–29°C,tmax
CESM1-BGC,historical,2006,DJF,2,Tmax 26–29°C,tmax
CESM1-CAM5,historical,2000,DJF,5,Tmax 26–29°C,tmax
CESM1-CAM5,historical,2001,DJF,2,Tmax 26–29°C,tmax
CESM1-CAM5,historical,2002,DJF,6,Tmax 26–29°C,tmax
CESM1-CAM5,historical,2003,DJF,8,Tmax 26–29°C,tmax
CESM1-CAM5,historical,2004,DJF,9,Tmax 26–29°C,tmax
CESM1-CAM5,historical,2005,DJF,3,Tmax 26–29°C,tmax
CESM1-CAM5,historical,2006,DJF,1,Tmax 26–29°C,tmax
CMCC-CESM,historical,2000,DJF,11,Tmax 26–29°C,tmax
CMCC-CESM,historical,2001,DJF,6,Tmax 26–29°C,tmax
CMCC-CESM,historical,2002,DJF,4,Tmax 26–29°C,tmax
CMCC-CESM,historical,2003,DJF,17,Tmax 26–29°C,tmax
CMCC-CESM,historical,2005,DJF,4,Tmax 26–29°C,tmax
CMCC-CESM,historical,2006,DJF,3,Tmax 26–29°C,tmax
CMCC-CM,historical,2000,DJF,5,Tmax 26–29°C,tmax
CMCC-CM,historical,2001,DJF,7,Tmax 26–29°C,tmax
CMCC-CM,historical,2002,DJF,4,Tmax 26–29°C,tmax
CMCC-CM,historical,2003,DJF,10,Tmax 26–29°C,tmax
CMCC-CM,historical,2005,DJF,11,Tmax 26–29°C,tmax
CMCC-CM,historical,2006,DJF,2,Tmax 26–29°C,tmax
CMCC-CMS,historical,2000,DJF,5,Tmax 26–29°C,tmax
CMCC-CMS,historical,2001,DJF,6,Tmax 26–29°C,tmax
CMCC-CMS,historical,2002,DJF,18,Tmax 26–29°C,tmax
CMCC-CMS,historical,2003,DJF,15,Tmax 26–29°C,tmax
CMCC-CMS,historical,2005,DJF,12,Tmax 26–29°C,tmax
CMCC-CMS,historical,2006,DJF,7,Tmax 26–29°C,tmax
CNRM-CM5,historical,2000,DJF,4,Tmax 26–29°C,tmax
CNRM-CM5,historical,2001,DJF,5,Tmax 26–29°C,tmax
CNRM-CM5,historical,2002,DJF,2,Tmax 26–29°C,tmax
CNRM-CM5,historical,2003,DJF,10,Tmax 26–29°C,tmax
CNRM-CM5,historical,2004,DJF,10,Tmax 26–29°C,tmax
CNRM-CM5,historical,2005,DJF,6,Tmax 26–29°C,tmax
CNRM-CM5,historical,2006,DJF,2,Tmax 26–29°C,tmax
CSIRO-Mk3-6-0,historical,2000,DJF,3,Tmax 26–29°C,tmax
CSIRO-Mk3-6-0,historical,2001,DJF,10,Tmax 26–29°C,tmax
CSIRO-Mk3-6-0,historical,2002,DJF,7,Tmax 26–29°C,tmax
CSIRO-Mk3-6-0,historical,2004,DJF,7,Tmax 26–29°C,tmax
CSIRO-Mk3-6-0,historical,2005,DJF,10,Tmax 26–29°C,tmax
CanESM2,historical,2000,DJF,9,Tmax 26–29°C,tmax
CanESM2,historical,2001,DJF,6,Tmax 26–29°C,tmax
CanESM2,historical,2002,DJF,8,Tmax 26–29°C,tmax
CanESM2,historical,2003,DJF,8,Tmax 26–29°C,tmax
CanESM2,historical,2004,DJF,10,Tmax 26–29°C,tmax
CanESM2,historical,2005,DJF,4,Tmax 26–29°C,tmax
CanESM2,historical,2006,DJF,3,Tmax 26–29°C,tmax
EC-EARTH,historical,2000,DJF,2,Tmax 26–29°C,tmax
EC-EARTH,historical,2001,DJF,6,Tmax 26–29°C,tmax
EC-EARTH,historical,2002,DJF,6,Tmax 26–29°C,tmax
EC-EARTH,historical,2003,DJF,3,Tmax 26–29°C,tmax
EC-EARTH,historical,2004,DJF,7,Tmax 26–29°C,tmax
EC-EARTH,historical,2005,DJF,9,Tmax 26–29°C,tmax
EC-EARTH,historical,2006,DJF,4,Tmax 26–29°C,tmax
FGOALS-g2,historical,2000,DJF,2,Tmax 26–29°C,tmax
FGOALS-g2,historical,2001,DJF,9,Tmax 26–29°C,tmax
FGOALS-g2,historical,2002,DJF,4,Tmax 26–29°C,tmax
FGOALS-g2,historical,2003,DJF,13,Tmax 26–29°C,tmax
FGOALS-g2,historical,2004,DJF,9,Tmax 26–29°C,tmax
FGOALS-g2,historical,2005,DJF,14,Tmax 26–29°C,tmax
FGOALS-g2,historical,2006,DJF,5,Tmax 26–29°C,tmax
GFDL-CM3,historical,2000,DJF,1,Tmax 26–29°C,tmax
GFDL-CM3,historical,2001,DJF,4,Tmax 26–29°C,tmax
GFDL-CM3,historical,2002,DJF,5,Tmax 26–29°C,tmax
GFDL-CM3,historical,2003,DJF,2,Tmax 26–29°C,tmax
GFDL-CM3,historical,2004,DJF,4,Tmax 26–29°C,tmax
GFDL-CM3,historical,2005,DJF,14,Tmax 26–29°C,tmax
GFDL-CM3,historical,2006,DJF,2,Tmax 26–29°C,tmax
GFDL-ESM2G,historical,2000,DJF,5,Tmax 26–29°C,tmax
GFDL-ESM2G,historical,2001,DJF,5,Tmax 26–29°C,tmax
GFDL-ESM2G,historical,2002,DJF,12,Tmax 26–29°C,tmax
GFDL-ESM2G,historical,2003,DJF,3,Tmax 26–29°C,tmax
GFDL-ESM2G,historical,2004,DJF,5,Tmax 26–29°C,tmax
GFDL-ESM2G,historical,2005,DJF,9,Tmax 26–29°C,tmax
GFDL-ESM2G,historical,2006,DJF,8,Tmax 26–29°C,tmax
GFDL-ESM2M,historical,2000,DJF,7,Tmax 26–29°C,tmax
GFDL-ESM2M,historical,2001,DJF,4,Tmax 26–29°C,tmax
GFDL-ESM2M,historical,2002,DJF,28,Tmax 26–29°C,tmax
GFDL-ESM2M,historical,2003,DJF,1,Tmax 26–29°C,tmax
GFDL-ESM2M,historical,2004,DJF,10,Tmax 26–29°C,tmax
GFDL-ESM2M,historical,2005,DJF,9,Tmax 26–29°C,tmax
GFDL-ESM2M,historical,2006,DJF,4,Tmax 26–29°C,tmax
IPSL-CM5A-LR,historical,2000,DJF,6,Tmax 26–29°C,tmax
IPSL-CM5A-LR,historical,2001,DJF,16,Tmax 26–29°C,tmax
IPSL-CM5A-LR,historical,2002,DJF,19,Tmax 26–29°C,tmax
IPSL-CM5A-LR,historical,2003,DJF,16,Tmax 26–29°C,tmax
IPSL-CM5A-LR,historical,2004,DJF,11,Tmax 26–29°C,tmax
IPSL-CM5A-LR,historical,2005,DJF,2,Tmax 26–29°C,tmax
IPSL-CM5A-LR,historical,2006,DJF,4,Tmax 26–29°C,tmax
IPSL-CM5A-MR,historical,2000,DJF,9,Tmax 26–29°C,tmax
IPSL-CM5A-MR,historical,2001,DJF,8,Tmax 26–29°C,tmax
IPSL-CM5A-MR,historical,2002,DJF,8,Tmax 26–29°C,tmax
IPSL-CM5A-MR,historical,2003,DJF,9,Tmax 26–29°C,tmax
IPSL-CM5A-MR,historical,2004,DJF,8,Tmax 26–29°C,tmax
IPSL-CM5A-MR,historical,2005,DJF,3,Tmax 26–29°C,tmax
IPSL-CM5B-LR,historical,2000,DJF,3,Tmax 26–29°C,tmax
IPSL-CM5B-LR,historical,2001,DJF,4,Tmax 26–29°C,tmax
IPSL-CM5B-LR,historical,2002,DJF,4,Tmax 26–29°C,tmax
IPSL-CM5B-LR,historical,2003,DJF,5,Tmax 26–29°C,tmax
IPSL-CM5B-LR,historical,2004,DJF,13,Tmax 26–29°C,tmax
IPSL-CM5B-LR,historical,2005,DJF,10,Tmax 26–29°C,tmax
MIROC-ESM,historical,2000,DJF,7,Tmax 26–29°C,tmax
MIROC-ESM,historical,2001,DJF,6,Tmax 26–29°C,tmax
MIROC-ESM,historical,2002,DJF,11,Tmax 26–29°C,tmax
MIROC-ESM,historical,2003,DJF,5,Tmax 26–29°C,tmax
MIROC-ESM,historical,2004,DJF,9,Tmax 26–29°C,tmax
MIROC-ESM,historical,2005,DJF,5,Tmax 26–29°C,tmax
MIROC-ESM,historical,2006,DJF,4,Tmax 26–29°C,tmax
MIROC-ESM-CHEM,historical,2000,DJF,7,Tmax 26–29°C,tmax
MIROC-ESM-CHEM,historical,2001,DJF,6,Tmax 26–29°C,tmax
MIROC-ESM-CHEM,historical,2002,DJF,8,Tmax 26–29°C,tmax
MIROC-ESM-CHEM,historical,2003,DJF,6,Tmax 26–29°C,tmax
MIROC-ESM-CHEM,historical,2004,DJF,8,Tmax 26–29°C,tmax
MIROC-ESM-CHEM,historical,2005,DJF,5,Tmax 26–29°C,tmax
MIROC-ESM-CHEM,historical,2006,DJF,5,Tmax 26–29°C,tmax
MIROC5,historical,2000,DJF,2,Tmax 26–29°C,tmax
MIROC5,historical,2001,DJF,5,Tmax 26–29°C,tmax
MIROC5,historical,2002,DJF,6,Tmax 26–29°C,tmax
