organism,scenario,bio_year,season_group,ensemble_dd_share,ensemble_seasonal_dd,n_models
Aedes aegypti,historical,2004,May-Oct,66.3343917850213,3198.064725069801,31
Aedes aegypti,historical,2004,Nov-Apr,33.6656082149787,1624.0284128834733,31
Aedes aegypti,rcp26,2006,May-Oct,66.49178714349753,3206.0270027544875,20
Aedes aegypti,rcp26,2006,Nov-Apr,33.508212856502475,1622.108058465372,20
Aedes aegypti,rcp26,2007,May-Oct,65.85310701056842,3174.37850847577,20
Aedes aegypti,rcp26,2007,Nov-Apr,34.14689298943158,1651.2460038936,20
Aedes aegypti,rcp26,2008,May-Oct,66.04033095617625,3224.128719665614,20
Aedes aegypti,rcp26,2008,Nov-Apr,33.95966904382375,1661.5438776506119,20
Aedes aegypti,rcp26,2009,May-Oct,66.42402140570637,3223.3986553515438,20
Aedes aegypti,rcp26,2009,Nov-Apr,33.57597859429363,1633.2383570069999,20
Aedes aegypti,rcp26,2010,May-Oct,66.08116787270689,3222.4514857152003,20
Aedes aegypti,rcp26,2010,Nov-Apr,33.918832127293115,1657.7487686890004,20
Aedes aegypti,rcp26,2011,May-Oct,65.43083471562834,3230.2132998813177,20
Aedes aegypti,rcp26,2011,Nov-Apr,34.569165284371664,1711.6274232070548,20
Aedes aegypti,rcp26,2012,May-Oct,65.6586875551709,3277.567577843363,20
Aedes aegypti,rcp26,2012,Nov-Apr,34.3413124448291,1719.4719328646702,20
Aedes aegypti,rcp26,2013,May-Oct,65.60904621516373,3223.986053752429,20
Aedes aegypti,rcp26,2013,Nov-Apr,34.39095378483627,1692.8034950808524,20
Aedes aegypti,rcp26,2014,May-Oct,65.60432968472378,3296.284863785905,20
Aedes aegypti,rcp26,2014,Nov-Apr,34.39567031527623,1734.6729331569961,20
Aedes aegypti,rcp26,2015,May-Oct,65.73643444107728,3296.113554174079,20
Aedes aegypti,rcp26,2015,Nov-Apr,34.26356555892273,1722.4379417055013,20
Aedes aegypti,rcp26,2016,May-Oct,66.43849436488095,3332.4369431157147,20
Aedes aegypti,rcp26,2016,Nov-Apr,33.56150563511905,1690.4617155205985,20
Aedes aegypti,rcp26,2017,May-Oct,65.91840507354354,3310.1457801449055,20
Aedes aegypti,rcp26,2017,Nov-Apr,34.08159492645646,1718.530072917059,20
Aedes aegypti,rcp26,2018,May-Oct,64.95467380196439,3278.4749710823367,20
Aedes aegypti,rcp26,2018,Nov-Apr,35.04532619803562,1780.30368757534,20
Aedes aegypti,rcp26,2019,May-Oct,65.46453169828837,3285.5368314267935,20
Aedes aegypti,rcp26,2019,Nov-Apr,34.53546830171163,1739.1321590110522,20
Aedes aegypti,rcp26,2020,May-Oct,65.93163059333293,3267.7424592857833,20
Aedes aegypti,rcp26,2020,Nov-Apr,34.06836940666708,1692.6635594675868,20
Aedes aegypti,rcp26,2021,May-Oct,65.32419290468326,3284.5175986059985,20
Aedes aegypti,rcp26,2021,Nov-Apr,34.675807095316735,1746.84889054681,20
Aedes aegypti,rcp26,2022,May-Oct,64.90320453574769,3295.853596493924,20
Aedes aegypti,rcp26,2022,Nov-Apr,35.09679546425231,1790.4979427762214,20
Aedes aegypti,rcp26,2023,May-Oct,65.75839912096913,3376.9578391007803,20
Aedes aegypti,rcp26,2023,Nov-Apr,34.24160087903088,1765.3449427245719,20
Aedes aegypti,rcp26,2024,May-Oct,65.53659562483054,3326.969200560059,20
Aedes aegypti,rcp26,2024,Nov-Apr,34.46340437516947,1757.2842297926236,20
Aedes aegypti,rcp26,2025,May-Oct,65.65770897922768,3334.5684401316294,20
Aedes aegypti,rcp26,2025,Nov-Apr,34.34229102077232,1754.6976873918888,20
Aedes aegypti,rcp26,2026,May-Oct,64.91483459930814,3331.7511086479694,20
Aedes aegypti,rcp26,2026,Nov-Apr,35.085165400691864,1805.054079522713,20
Aedes aegypti,rcp26,2027,May-Oct,64.8514534733943,3357.064059498893,20
Aedes aegypti,rcp26,2027,Nov-Apr,35.1485465266057,1826.2708310534083,20
Aedes aegypti,rcp26,2028,May-Oct,64.55373051062955,3330.416074756789,20
Aedes aegypti,rcp26,2028,Nov-Apr,35.44626948937046,1832.6040474664194,20
Aedes aegypti,rcp26,2029,May-Oct,64.93358946592016,3342.2948449094474,20
Aedes aegypti,rcp26,2029,Nov-Apr,35.06641053407985,1813.109621944316,20
Aedes aegypti,rcp26,2030,May-Oct,66.04259124084858,3356.4789834262097,20
Aedes aegypti,rcp26,2030,Nov-Apr,33.95740875915142,1732.7557285171047,20
Aedes aegypti,rcp26,2031,May-Oct,65.06619727067695,3377.6534999478527,20
Aedes aegypti,rcp26,2031,Nov-Apr,34.93380272932304,1820.2388537027168,20
Aedes aegypti,rcp26,2032,May-Oct,65.41953607787488,3392.739076787054,20
Aedes aegypti,rcp26,2032,Nov-Apr,34.58046392212512,1807.8711335793014,20
Aedes aegypti,rcp26,2033,May-Oct,65.63527065703794,3391.0375460409296,20
Aedes aegypti,rcp26,2033,Nov-Apr,34.364729342962065,1784.9133149711847,20
Aedes aegypti,rcp26,2034,May-Oct,65.30052378797099,3387.6647475678583,20
Aedes aegypti,rcp26,2034,Nov-Apr,34.69947621202901,1813.8046138144534,20
Aedes aegypti,rcp26,2035,May-Oct,64.35031083623323,3392.9610454502995,20
Aedes aegypti,rcp26,2035,Nov-Apr,35.649689163766766,1885.6885489284632,20
Aedes aegypti,rcp45,2006,May-Oct,66.00993268054928,3211.054945632471,27
Aedes aegypti,rcp45,2006,Nov-Apr,33.99006731945071,1660.623235274547,27
Aedes aegypti,rcp45,2007,May-Oct,66.71800097984502,3218.2470570588143,27
Aedes aegypti,rcp45,2007,Nov-Apr,33.281999020154984,1610.369335860956,27
Aedes aegypti,rcp45,2008,May-Oct,66.47318625686265,3243.951175502659,27
Aedes aegypti,rcp45,2008,Nov-Apr,33.52681374313735,1644.2768641169844,27
Aedes aegypti,rcp45,2009,May-Oct,66.0326899578226,3187.4007225934056,27
Aedes aegypti,rcp45,2009,Nov-Apr,33.967310042177395,1644.8525389198087,27
Aedes aegypti,rcp45,2010,May-Oct,66.38497348258024,3241.83289680407,27
Aedes aegypti,rcp45,2010,Nov-Apr,33.615026517419764,1644.9698371224786,27
Aedes aegypti,rcp45,2011,May-Oct,66.69483666962458,3232.98199931473,27
Aedes aegypti,rcp45,2011,Nov-Apr,33.30516333037543,1622.0078881756197,27
Aedes aegypti,rcp45,2012,May-Oct,66.15343243268883,3228.22223344289,27
Aedes aegypti,rcp45,2012,Nov-Apr,33.84656756731116,1653.9562918541724,27
Aedes aegypti,rcp45,2013,May-Oct,65.53215730504473,3227.145255108328,27
Aedes aegypti,rcp45,2013,Nov-Apr,34.46784269495527,1702.9950073846196,27
Aedes aegypti,rcp45,2014,May-Oct,65.90421755931487,3257.532713562809,27
Aedes aegypti,rcp45,2014,Nov-Apr,34.095782440685134,1691.6846027214024,27
Aedes aegypti,rcp45,2015,May-Oct,65.75664687338033,3251.0935502664884,27
Aedes aegypti,rcp45,2015,Nov-Apr,34.24335312661967,1701.14925350287,27
Aedes aegypti,rcp45,2016,May-Oct,65.36406650914115,3264.1517923736506,27
Aedes aegypti,rcp45,2016,Nov-Apr,34.63593349085885,1732.5387773806442,27
Aedes aegypti,rcp45,2017,May-Oct,66.66972044553604,3301.886381638115,27
Aedes aegypti,rcp45,2017,Nov-Apr,33.33027955446395,1658.430406534707,27
Aedes aegypti,rcp45,2018,May-Oct,65.94253219959774,3274.7923326009595,27
Aedes aegypti,rcp45,2018,Nov-Apr,34.05746780040227,1696.1392368031645,27
Aedes aegypti,rcp45,2019,May-Oct,65.70708165834762,3253.6876207975088,27
Aedes aegypti,rcp45,2019,Nov-Apr,34.29291834165238,1700.649065155592,27
Aedes aegypti,rcp45,2020,May-Oct,66.07500565368088,3286.0872794777406,27
Aedes aegypti,rcp45,2020,Nov-Apr,33.92499434631913,1693.1952483584812,27
Aedes aegypti,rcp45,2021,May-Oct,65.89759001340755,3282.797214902883,27
Aedes aegypti,rcp45,2021,Nov-Apr,34.102409986592455,1704.4418548021838,27
Aedes aegypti,rcp45,2022,May-Oct,66.37067494956466,3296.998045379505,27
Aedes aegypti,rcp45,2022,Nov-Apr,33.629325050435334,1677.3793168950479,27
Aedes aegypti,rcp45,2023,May-Oct,66.12011204278335,3253.8429773362873,27
Aedes aegypti,rcp45,2023,Nov-Apr,33.87988795721666,1675.9470100919034,27
Aedes aegypti,rcp45,2024,May-Oct,65.68559190210696,3298.0745715213775,27
Aedes aegypti,rcp45,2024,Nov-Apr,34.31440809789303,1728.2552923242708,27
Aedes aegypti,rcp45,2025,May-Oct,65.97741664343116,3334.225480800104,27
Aedes aegypti,rcp45,2025,Nov-Apr,34.022583356568845,1724.7841917113055,27
Aedes aegypti,rcp45,2026,May-Oct,65.58704592810406,3318.2813485969473,27
Aedes aegypti,rcp45,2026,Nov-Apr,34.41295407189594,1744.2000081529782,27
Aedes aegypti,rcp45,2027,May-Oct,65.97865747123011,3326.197056052814,27
Aedes aegypti,rcp45,2027,Nov-Apr,34.02134252876989,1722.2920217545422,27
Aedes aegypti,rcp45,2028,May-Oct,66.44026664779973,3350.098093219599,27
Aedes aegypti,rcp45,2028,Nov-Apr,33.55973335220027,1696.6085613697257,27
Aedes aegypti,rcp45,2029,May-Oct,65.58788948283839,3302.731894805452,27
Aedes aegypti,rcp45,2029,Nov-Apr,34.4121105171616,1738.916930712112,27
