model,scenario,year,n_days,n_valid
ACCESS1-0,historical,2000,365,365
ACCESS1-0,historical,2001,365,365
ACCESS1-0,historical,2002,365,365
ACCESS1-0,historical,2003,365,365
ACCESS1-0,historical,2004,365,365
ACCESS1-0,historical,2005,365,365
ACCESS1-0,rcp45,2006,365,365
ACCESS1-0,rcp45,2007,365,365
ACCESS1-0,rcp45,2008,365,365
ACCESS1-0,rcp45,2009,365,365
ACCESS1-0,rcp45,2010,365,365
ACCESS1-0,rcp45,2011,365,365
ACCESS1-0,rcp45,2012,365,365
ACCESS1-0,rcp45,2013,365,365
ACCESS1-0,rcp45,2014,365,365
ACCESS1-0,rcp45,2015,365,365
ACCESS1-0,rcp45,2016,365,365
ACCESS1-0,rcp45,2017,365,365
ACCESS1-0,rcp45,2018,365,365
ACCESS1-0,rcp45,2019,365,365
ACCESS1-0,rcp45,2020,365,365
ACCESS1-0,rcp45,2021,365,365
ACCESS1-0,rcp45,2022,365,365
ACCESS1-0,rcp45,2023,365,365
ACCESS1-0,rcp45,2024,365,365
ACCESS1-0,rcp45,2025,365,365
ACCESS1-0,rcp45,2026,365,365
ACCESS1-0,rcp45,2027,365,365
ACCESS1-0,rcp45,2028,365,365
ACCESS1-0,rcp45,2029,365,365
ACCESS1-0,rcp45,2030,365,365
ACCESS1-0,rcp45,2031,365,365
ACCESS1-0,rcp45,2032,365,365
ACCESS1-0,rcp45,2033,365,365
ACCESS1-0,rcp45,2034,365,365
ACCESS1-0,rcp45,2035,365,365
ACCESS1-0,rcp45,2036,365,365
ACCESS1-0,rcp85,2006,365,365
ACCESS1-0,rcp85,2007,365,365
ACCESS1-0,rcp85,2008,365,365
ACCESS1-0,rcp85,2009,365,365
ACCESS1-0,rcp85,2010,365,365
ACCESS1-0,rcp85,2011,365,365
ACCESS1-0,rcp85,2012,365,365
ACCESS1-0,rcp85,2013,365,365
ACCESS1-0,rcp85,2014,365,365
ACCESS1-0,rcp85,2015,365,365
ACCESS1-0,rcp85,2016,365,365
ACCESS1-0,rcp85,2017,365,365
ACCESS1-0,rcp85,2018,365,365
ACCESS1-0,rcp85,2019,365,365
ACCESS1-0,rcp85,2020,365,365
ACCESS1-0,rcp85,2021,365,365
ACCESS1-0,rcp85,2022,365,365
ACCESS1-0,rcp85,2023,365,365
ACCESS1-0,rcp85,2024,365,365
ACCESS1-0,rcp85,2025,365,365
ACCESS1-0,rcp85,2026,365,365
ACCESS1-0,rcp85,2027,365,365
ACCESS1-0,rcp85,2028,365,365
ACCESS1-0,rcp85,2029,365,365
ACCESS1-0,rcp85,2030,365,365
ACCESS1-0,rcp85,2031,365,365
ACCESS1-0,rcp85,2032,365,365
ACCESS1-0,rcp85,2033,365,365
ACCESS1-0,rcp85,2034,365,365
ACCESS1-0,rcp85,2035,365,365
ACCESS1-0,rcp85,2036,365,365
ACCESS1-3,historical,2000,365,365
ACCESS1-3,historical,2001,365,365
ACCESS1-3,historical,2002,365,365
ACCESS1-3,historical,2003,365,365
ACCESS1-3,historical,2004,365,365
ACCESS1-3,historical,2005,365,365
ACCESS1-3,rcp45,2006,365,365
ACCESS1-3,rcp45,2007,365,365
ACCESS1-3,rcp45,2008,365,365
ACCESS1-3,rcp45,2009,365,365
ACCESS1-3,rcp45,2010,365,365
ACCESS1-3,rcp45,2011,365,365
ACCESS1-3,rcp45,2012,365,365
