model,scenario,year,count,interval_name,variable
ACCESS1-0,historical,2000,3,pr 50mm,Precipitation
ACCESS1-0,historical,2001,11,pr 50mm,Precipitation
ACCESS1-0,historical,2002,5,pr 50mm,Precipitation
ACCESS1-0,historical,2003,4,pr 50mm,Precipitation
ACCESS1-0,historical,2004,16,pr 50mm,Precipitation
ACCESS1-0,historical,2005,7,pr 50mm,Precipitation
ACCESS1-3,historical,2000,8,pr 50mm,Precipitation
ACCESS1-3,historical,2001,5,pr 50mm,Precipitation
ACCESS1-3,historical,2002,14,pr 50mm,Precipitation
ACCESS1-3,historical,2003,7,pr 50mm,Precipitation
ACCESS1-3,historical,2004,7,pr 50mm,Precipitation
ACCESS1-3,historical,2005,5,pr 50mm,Precipitation
BNU-ESM,historical,2000,4,pr 50mm,Precipitation
BNU-ESM,historical,2001,12,pr 50mm,Precipitation
BNU-ESM,historical,2002,14,pr 50mm,Precipitation
BNU-ESM,historical,2003,11,pr 50mm,Precipitation
BNU-ESM,historical,2004,11,pr 50mm,Precipitation
BNU-ESM,historical,2005,15,pr 50mm,Precipitation
CCSM4,historical,2000,4,pr 50mm,Precipitation
CCSM4,historical,2001,6,pr 50mm,Precipitation
CCSM4,historical,2002,6,pr 50mm,Precipitation
CCSM4,historical,2003,10,pr 50mm,Precipitation
CCSM4,historical,2004,2,pr 50mm,Precipitation
CCSM4,historical,2005,6,pr 50mm,Precipitation
CESM1-BGC,historical,2000,12,pr 50mm,Precipitation
CESM1-BGC,historical,2001,9,pr 50mm,Precipitation
CESM1-BGC,historical,2002,11,pr 50mm,Precipitation
CESM1-BGC,historical,2003,8,pr 50mm,Precipitation
CESM1-BGC,historical,2004,2,pr 50mm,Precipitation
CESM1-BGC,historical,2005,8,pr 50mm,Precipitation
CESM1-CAM5,historical,2000,15,pr 50mm,Precipitation
CESM1-CAM5,historical,2001,8,pr 50mm,Precipitation
CESM1-CAM5,historical,2002,5,pr 50mm,Precipitation
CESM1-CAM5,historical,2003,13,pr 50mm,Precipitation
CESM1-CAM5,historical,2004,7,pr 50mm,Precipitation
CESM1-CAM5,historical,2005,9,pr 50mm,Precipitation
CMCC-CESM,historical,2000,8,pr 50mm,Precipitation
